day,rep,treatfact,treatnum,count
7,4,L,10,16
10,4,L,10,109
12,4,L,10,228
14,4,L,10,209
17,4,L,10,238
19,4,L,10,191
21,4,L,10,175
24,4,L,10,158
26,4,L,10,154
28,4,L,10,132
31,4,L,10,139
33,4,L,10,129
35,4,L,10,137
38,4,L,10,134
40,4,L,10,104
42,4,L,10,99
45,4,L,10,86
47,4,L,10,81
49,4,L,10,80
52,4,L,10,58
54,4,L,10,47
56,4,L,10,33
59,4,L,10,42
61,4,L,10,81
63,4,L,10,115
66,4,L,10,134
68,4,L,10,161
70,4,L,10,175
3,5,L,10,9
5,5,L,10,12
7,5,L,10,12
10,5,L,10,67
12,5,L,10,220
14,5,L,10,255
17,5,L,10,210
19,5,L,10,149
21,5,L,10,146
24,5,L,10,116
26,5,L,10,110
28,5,L,10,105
31,5,L,10,137
33,5,L,10,123
35,5,L,10,124
38,5,L,10,118
40,5,L,10,119
42,5,L,10,101
45,5,L,10,87
47,5,L,10,77
49,5,L,10,80
52,5,L,10,62
54,5,L,10,49
56,5,L,10,46
59,5,L,10,46
61,5,L,10,54
63,5,L,10,97
66,5,L,10,90
68,5,L,10,87
70,5,L,10,83
